11;FIFA 21;3;2021;36861958;943057 hours;328568;5109;109564;49612;1269;39.09;https://static-cdn.jtvnw.net/ttv-boxart/FIFA%2021-285x380.jpg
12;World of Warcraft;3;2021;34198319;1406577 hours;196676;5486;71429;46027;1893;24.31;https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Warcraft-285x380.jpg
13;Escape from Tarkov;3;2021;26963344;1044706 hours;98911;2298;46062;36289;1406;25.81;https://static-cdn.jtvnw.net/ttv-boxart/Escape%20from%20Tarkov-285x380.jpg
14;Rocket League;3;2021;25444384;1192179 hours;196842;3294;247798;34245;1604;21.34;https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-285x380.jpg
15;Music;3;2021;24830013;1008245 hours;192819;2891;57902;33418;1356;24.63;https://static-cdn.jtvnw.net/ttv-boxart/Music-285x380.jpg
16;Dead by Daylight;3;2021;22897007;1222214 hours;115771;3487;93299;30816;1644;18.73;https://static-cdn.jtvnw.net/ttv-boxart/Dead%20by%20Daylight-285x380.jpg
17;Hearthstone;3;2021;22340994;196721 hours;99762;1003;15772;30068;264;113.57;https://static-cdn.jtvnw.net/ttv-boxart/Hearthstone-285x380.jpg
18;Rust;3;2021;20138055;375331 hours;254303;1804;29571;27103;505;53.65;https://static-cdn.jtvnw.net/ttv-boxart/Rust-285x380.jpg
19;Tom Clancy's Rainbow Six Siege;3;2021;19542906;1212667 hours;149283;3623;147485;26302;1632;16.12;https://static-cdn.jtvnw.net/ttv-boxart/Tom%20Clancy%27s%20Rainbow%20Six%20Siege-285x380.jpg
20;Slots;3;2021;18479015;117162 hours;73039;272;4992;24870;157;157.72;https://static-cdn.jtvnw.net/ttv-boxart/Slots-285x380.jpg
21;Among Us;3;2021;17254354;304483 hours;697975;3026;70224;23222;409;56.67;https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-285x380.jpg
22;PLAYERUNKNOWN'S BATTLEGROUNDS;3;2021;17157775;649177 hours;151310;1417;40976;23092;873;26.43;https://static-cdn.jtvnw.net/ttv-boxart/PUBG:%20BATTLEGROUNDS-285x380.jpg
23;Teamfight Tactics;3;2021;16839576;285266 hours;100918;650;32112;22664;383;59.03;https://static-cdn.jtvnw.net/ttv-boxart/Teamfight%20Tactics-285x380.jpg
24;Chess;3;2021;16819313;110659 hours;234665;317;15594;22637;148;151.99;https://static-cdn.jtvnw.net/ttv-boxart/Chess-285x380.jpg
25;Valheim;3;2021;14494631;1110959 hours;83090;3747;91766;19508;1495;13.05;https://static-cdn.jtvnw.net/ttv-boxart/Valheim-285x380.jpg
26;Overwatch;3;2021;13825073;862789 hours;44628;2067;88225;18607;1161;16.02;https://static-cdn.jtvnw.net/ttv-boxart/Overwatch-285x380.jpg
27;Call Of Duty: Modern Warfare;3;2021;11965466;4924921 hours;38007;12670;377183;16104;6628;2.43;https://static-cdn.jtvnw.net/ttv-boxart/Call%20Of%20Duty:%20Modern%20Warfare-285x380.jpg
28;Genshin Impact;3;2021;11429047;582571 hours;109844;2391;60523;15382;784;19.62;https://static-cdn.jtvnw.net/ttv-boxart/Genshin%20Impact-285x380.jpg
29;Art;3;2021;10629647;675994 hours;54437;1503;65007;14306;909;15.72;https://static-cdn.jtvnw.net/ttv-boxart/Art-285x380.jpg
30;Garena Free Fire;3;2021;10244000;340702 hours;69042;920;30520;13787;458;30.07;https://static-cdn.jtvnw.net/ttv-boxart/Garena%20Free%20Fire-285x380.jpg
31;Sports;3;2021;9542008;83129 hours;233176;342;10203;12842;111;114.79;https://static-cdn.jtvnw.net/ttv-boxart/Sports-285x380.jpg
32;LOST ARK;3;2021;9514623;139275 hours;47422;544;6652;12805;187;68.32;https://static-cdn.jtvnw.net/ttv-boxart/LOST%20ARK-285x380.jpg
33;Mario Kart 8;3;2021;8882613;71154 hours;292542;347;12885;11955;95;124.84;https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Kart%208-285x380.jpg
34;Call of Duty: Black Ops Cold War;3;2021;8777080;1066459 hours;64918;4027;119084;11813;1435;8.23;https://static-cdn.jtvnw.net/ttv-boxart/Call%20of%20Duty:%20Black%20Ops%20Cold%20War-285x380.jpg
35;Monster Hunter Rise;3;2021;8731278;272773 hours;129540;3436;22503;11751;367;32.01;https://static-cdn.jtvnw.net/ttv-boxart/Monster%20Hunter%20Rise-285x380.jpg
36;Talk Shows & Podcasts;3;2021;8071577;195244 hours;101320;565;18796;10863;262;41.34;https://static-cdn.jtvnw.net/ttv-boxart/Talk%20Shows%20&%20Podcasts-285x380.jpg
37;ASMR;3;2021;7855197;102570 hours;29578;194;5087;10572;138;76.58;https://static-cdn.jtvnw.net/ttv-boxart/ASMR-285x380.jpg
38;ARK: Survival Evolved;3;2021;7594388;308626 hours;95571;883;26067;10221;415;24.61;https://static-cdn.jtvnw.net/ttv-boxart/Ark:%20Survival%20Evolved-285x380.jpg
39;Destiny 2;3;2021;7515558;653695 hours;37292;1927;47769;10115;879;11.5;https://static-cdn.jtvnw.net/ttv-boxart/Destiny%202-285x380.jpg
40;Poker;3;2021;7011830;96550 hours;86549;400;5429;9437;129;72.62;https://static-cdn.jtvnw.net/ttv-boxart/Poker-285x380.jpg
41;Gartic Phone;3;2021;6796758;115553 hours;220798;738;41339;9147;155;58.82;https://static-cdn.jtvnw.net/ttv-boxart/Gartic%20Phone-285x380.jpg
42;NBA 2K21;3;2021;6750916;662084 hours;60656;1978;65326;9086;891;10.2;https://static-cdn.jtvnw.net/ttv-boxart/NBA%202K21-285x380.jpg
43;SMITE;3;2021;6689265;256344 hours;30367;683;20396;9003;345;26.09;https://static-cdn.jtvnw.net/ttv-boxart/SMITE-285x380.jpg
44;It Takes Two;3;2021;6461272;67385 hours;164233;1063;11324;8696;90;95.89;https://static-cdn.jtvnw.net/ttv-boxart/It%20Takes%20Two-285x380.jpg
45;Loop Hero;3;2021;6219389;96115 hours;62410;483;12397;8370;129;64.71;https://static-cdn.jtvnw.net/ttv-boxart/Loop%20Hero-285x380.jpg
46;Special Events;3;2021;5862421;35656 hours;226413;438;4770;7890;47;164.42;https://static-cdn.jtvnw.net/ttv-boxart/Special%20Events-285x380.jpg
47;Black Desert Online;3;2021;5739428;215380 hours;52252;458;12043;7724;289;26.65;https://static-cdn.jtvnw.net/ttv-boxart/Black%20Desert%20Online-285x380.jpg
48;World of Tanks;3;2021;5622533;179136 hours;29685;536;10659;7567;241;31.39;https://static-cdn.jtvnw.net/ttv-boxart/World%20of%20Tanks-285x380.jpg
49;Path of Exile;3;2021;5439201;154609 hours;33094;677;7425;7320;208;35.18;https://static-cdn.jtvnw.net/ttv-boxart/Path%20of%20Exile-285x380.jpg
50;Sea of Thieves;3;2021;5311760;398412 hours;48689;1298;39818;7149;536;13.33;https://static-cdn.jtvnw.net/ttv-boxart/Sea%20of%20Thieves-285x380.jpg
1;Just Chatting;4;2021;289547911;3544601 hours;937749;8026;474257;402709;4929;81.69;https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-285x380.jpg
2;Grand Theft Auto V;4;2021;239438984;2508876 hours;1105818;7043;211141;333016;3489;95.44;https://static-cdn.jtvnw.net/ttv-boxart/Grand%20Theft%20Auto%20V-285x380.jpg
3;League of Legends;4;2021;156994170;3592720 hours;906631;8333;260952;218350;4996;43.7;https://static-cdn.jtvnw.net/ttv-boxart/League%20of%20Legends-285x380.jpg
4;Call of Duty: Warzone;4;2021;100571607;3596411 hours;1629284;22437;218805;139877;5001;27.96;https://static-cdn.jtvnw.net/ttv-boxart/Call%20of%20Duty:%20Warzone-285x380.jpg
5;Fortnite;4;2021;94112337;5810309 hours;498791;17790;588089;130893;8081;16.2;https://static-cdn.jtvnw.net/ttv-boxart/Fortnite-285x380.jpg
6;VALORANT;4;2021;85635830;3435109 hours;440084;8565;306540;119104;4777;24.93;https://static-cdn.jtvnw.net/ttv-boxart/VALORANT-285x380.jpg
7;Minecraft;4;2021;79728626;3112654 hours;749947;8863;405918;110888;4329;25.61;https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-285x380.jpg
8;Counter-Strike: Global Offensive;4;2021;70072819;1464933 hours;421485;4173;158206;97458;2037;47.83;https://static-cdn.jtvnw.net/ttv-boxart/Counter-Strike:%20Global%20Offensive-285x380.jpg
9;Apex Legends;4;2021;51425055;3688671 hours;171721;8110;297846;71523;5130;13.94;https://static-cdn.jtvnw.net/ttv-boxart/Apex%20Legends-285x380.jpg
10;Dota 2;4;2021;49785357;666178 hours;372593;1658;32754;69242;926;74.73;https://static-cdn.jtvnw.net/ttv-boxart/Dota%202-285x380.jpg
11;FIFA 21;4;2021;31997488;857058 hours;270504;4078;99006;44502;1192;37.33;https://static-cdn.jtvnw.net/ttv-boxart/FIFA%2021-285x380.jpg
